X,Y,OBJECTID,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,LIGHT_CONDITION,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,Suburb,Year,Month,Month_name
144.9739942563002,-37.80542034260922,3466159,12/4/2018,08.49.00,No,Collision with vehicle,Wednesday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,Day,144.97399,-37.80542,YARRA,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA,METROPOLITAN NORTH WEST REGION,FITZROY,2018,4,April
144.60177293231277,-37.47069490216536,3466161,12/4/2018,08.14.00,No,Collision with vehicle,Thursday,RIGHT NEAR (INTERSECTIONS ONLY),Day,144.60177,-37.47069000000001,MACEDON RANGES,NORTHERN REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,0,0,0,TOWNS,TOWNS,MACEDON RANGES,NORTHERN REGION,NEW GISBORNE,2018,4,April
144.1901180663732,-38.40544444845026,3466163,7/4/2018,14.20.00,Yes,Collision with vehicle,Saturday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,Day,144.19012,-38.40544000000001,SURF COAST,SOUTH WESTERN REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,No,0,2,0,1,0,0,TOWNS,TOWNS,SURF COAST,SOUTH WESTERN REGION,ANGLESEA,2018,4,April
144.96248817424762,-37.80998606810667,3466165,11/4/2018,07.55.00,No,Collision with vehicle,Wednesday,LEFT TURN SIDESWIPE,Unk.,144.96249,-37.80999,MELBOURNE,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,No,0,2,0,1,0,0,MELBOURNE_CBD,"MELBOURNE_CBD,MELB_URBAN",MELBOURNE,METROPOLITAN NORTH WEST REGION,MELBOURNE,2018,4,April
144.89764712190762,-37.85662248140832,3466167,8/4/2018,09.30.00,Yes,Collision with vehicle,Sunday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,Unk.,144.89765,-37.85662,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,WILLIAMSTOWN,2018,4,April
144.9459751476169,-37.817333670072266,3466178,25/3/2018,09.15.00,Yes,Collision with vehicle,Sunday,REAR END(VEHICLES IN SAME LANE),Day,144.94598,-37.81733,MELBOURNE,METROPOLITAN NORTH WEST REGION,5,1,0,1,0,4,3,2,1,3,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,DOCKLANDS,2018,3,March
143.57587462861932,-38.342530501121054,3466191,6/3/2018,18.00.00,Yes,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),Day,143.57587,-38.34253,COLAC OTWAY,SOUTH WESTERN REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,SMALL_CITIES,SMALL_CITIES,COLAC OTWAY,SOUTH WESTERN REGION,COLAC,2018,3,March
144.97501209767142,-37.86794913754664,3466196,30/3/2018,12.30.00,No,Collision with vehicle,Thursday,LEFT TURN SIDESWIPE,Day,144.97501,-37.86795,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,ST KILDA,2018,3,March
145.20002123316783,-37.90964293768476,3466206,6/4/2018,13.40.00,No,No collision and no object struck,Thursday,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,Day,145.20002,-37.90964,MONASH,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,MELB_URBAN,MELB_URBAN,MONASH,METROPOLITAN SOUTH EAST REGION,WHEELERS HILL,2018,4,April
145.17187251902246,-37.83833070954481,3466218,12/4/2018,18.30.00,Yes,Collision with vehicle,Thursday,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,Dark Street lights on,145.17186999999996,-37.83833,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,No,0,2,0,0,0,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,FOREST HILL,2018,4,April
